,0
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,0
824,0
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,0
841,0
842,1
843,1
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,0
856,1
857,1
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,1
866,1
867,1
868,1
869,1
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,1
881,0
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,0
890,1
891,0
892,0
893,0
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,1
904,1
905,1
906,1
907,0
908,1
909,1
910,0
911,1
912,1
913,1
914,1
915,0
916,1
917,1
918,0
919,1
920,1
921,0
922,1
923,0
924,1
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,0
936,1
937,0
938,1
939,0
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,1
959,1
960,0
961,0
962,1
963,1
964,1
965,1
966,0
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,0
979,0
980,1
981,1
982,0
983,1
984,0
985,1
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,0
995,0
996,1
997,1
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,0
1027,1
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,1
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,0
1081,1
1082,0
1083,0
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,0
1091,0
1092,1
1093,0
1094,1
1095,0
1096,1
1097,1
1098,0
1099,0
1100,1
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,1
1113,0
1114,0
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,0
1137,1
1138,0
1139,0
1140,0
1141,0
1142,1
1143,0
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,0
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,0
1168,1
1169,0
1170,1
1171,0
1172,1
1173,1
1174,1
1175,1
1176,0
1177,0
1178,1
1179,1
1180,1
1181,0
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,0
1192,1
1193,1
1194,1
1195,0
1196,1
1197,1
1198,0
1199,1
1200,1
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,1
1224,0
1225,1
1226,1
1227,0
1228,1
1229,1
1230,1
1231,1
1232,0
1233,1
1234,1
1235,1
1236,1
1237,0
1238,0
1239,1
1240,1
1241,1
1242,1
1243,0
1244,1
1245,0
1246,1
1247,0
1248,0
1249,1
1250,1
1251,1
1252,1
1253,1
1254,0
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,0
1262,0
1263,0
1264,1
1265,0
1266,1
1267,0
1268,1
1269,1
1270,1
1271,1
1272,0
1273,1
1274,0
1275,1
1276,1
1277,0
1278,1
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,0
1296,1
1297,0
1298,0
1299,0
1300,0
1301,1
1302,1
1303,1
1304,0
1305,1
1306,1
1307,1
1308,1
1309,1
1310,1
1311,1
1312,0
1313,0
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1324,0
1325,1
1326,0
1327,1
1328,1
1329,1
1330,1
1331,0
1332,1
1333,1
1334,1
1335,0
1336,1
1337,1
1338,1
1339,0
1340,0
1341,0
1342,0
1343,1
1344,1
1345,1
1346,0
1347,1
1348,1
1349,1
1350,1
1351,1
1352,0
1353,0
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,0
1368,1
1369,0
1370,1
1371,0
1372,1
1373,0
1374,1
1375,0
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,0
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,0
1392,1
1393,1
1394,0
1395,1
1396,0
1397,0
1398,1
1399,1
1400,1
1401,1
1402,0
1403,1
1404,1
1405,1
1406,1
1407,0
1408,1
1409,0
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,0
1418,0
1419,0
1420,1
1421,1
1422,0
1423,1
1424,1
1425,0
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,0
1433,1
1434,1
1435,0
1436,0
1437,0
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,0
1449,0
1450,0
1451,1
1452,0
1453,1
1454,0
1455,1
1456,1
1457,0
1458,0
1459,1
1460,1
1461,1
1462,1
1463,0
1464,1
1465,1
1466,0
1467,0
1468,1
1469,0
1470,1
1471,1
1472,0
1473,1
1474,1
1475,1
1476,0
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,0
1485,1
1486,1
1487,1
1488,0
1489,0
1490,0
1491,0
1492,1
1493,0
1494,0
1495,1
1496,1
1497,0
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,0
1506,1
1507,1
1508,1
1509,1
1510,0
1511,1
1512,0
1513,1
1514,1
1515,1
1516,0
1517,1
1518,0
1519,1
1520,0
1521,1
1522,0
1523,1
1524,0
1525,1
1526,1
1527,1
1528,0
1529,1
1530,1
1531,0
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,0
1544,1
1545,1
1546,0
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,0
1554,1
1555,0
1556,1
1557,1
1558,0
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,1
1567,0
1568,0
1569,1
1570,1
1571,1
1572,1
1573,1
1574,0
1575,0
1576,1
1577,0
1578,1
1579,0
1580,1
1581,0
1582,1
1583,1
1584,1
1585,1
1586,1
1587,0
1588,0
1589,1
1590,1
1591,1
1592,1
1593,0
1594,1
1595,0
1596,0
1597,0
1598,0
1599,1
1600,1
1601,1
1602,1
1603,1
1604,0
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,0
1612,1
1613,1
1614,1
1615,1
1616,0
1617,1
1618,1
1619,1
1620,1
1621,0
1622,0
1623,0
1624,1
1625,1
1626,1
1627,0
1628,0
1629,0
1630,0
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,0
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,0
1654,1
1655,0
1656,1
1657,1
1658,0
1659,0
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,0
1667,1
1668,1
1669,1
1670,1
1671,1
1672,0
1673,1
1674,1
1675,1
1676,1
1677,1
1678,0
1679,1
1680,1
1681,1
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,0
1690,1
1691,1
1692,0
1693,1
1694,1
1695,1
1696,1
1697,1
1698,0
1699,1
1700,1
1701,1
1702,1
1703,1
1704,0
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,0
1717,1
1718,1
1719,1
1720,0
1721,0
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,0
1729,1
1730,1
1731,1
1732,1
1733,0
1734,1
1735,1
1736,0
1737,1
1738,1
1739,1
1740,0
1741,1
1742,1
1743,1
1744,1
1745,1
1746,0
1747,0
1748,0
1749,1
1750,1
1751,1
1752,0
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,0
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,0
1769,0
1770,0
1771,1
1772,1
1773,0
1774,0
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,0
1782,0
1783,1
1784,1
1785,1
1786,1
1787,0
1788,1
1789,1
1790,1
1791,1
1792,1
1793,0
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,0
1801,0
1802,1
1803,0
1804,0
1805,0
1806,1
1807,0
1808,1
1809,0
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,0
1826,1
1827,1
1828,0
1829,1
1830,1
1831,1
1832,1
1833,1
1834,0
1835,0
1836,1
1837,1
1838,1
1839,0
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,0
1849,0
1850,1
1851,0
1852,1
1853,0
1854,0
1855,1
1856,0
1857,1
1858,1
1859,0
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,0
1867,1
1868,0
1869,0
1870,0
1871,1
1872,1
1873,1
1874,1
1875,0
1876,0
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,0
1885,1
1886,0
1887,1
1888,1
1889,1
1890,1
1891,1
1892,1
1893,0
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,0
1902,1
1903,1
1904,1
1905,1
1906,0
1907,1
1908,1
1909,0
1910,0
1911,1
1912,1
1913,1
1914,1
1915,1
1916,0
1917,1
1918,0
1919,0
1920,0
1921,0
1922,1
1923,1
1924,0
1925,1
1926,1
1927,1
1928,0
1929,1
1930,1
1931,1
1932,0
1933,1
1934,1
1935,0
1936,1
1937,1
1938,0
1939,1
1940,1
1941,0
1942,1
1943,0
1944,0
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,0
1952,1
1953,0
1954,1
1955,0
1956,1
1957,1
1958,0
1959,1
1960,0
1961,0
1962,1
1963,1
1964,0
1965,1
1966,1
1967,0
1968,0
1969,1
1970,0
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,0
1979,1
1980,1
1981,1
1982,1
1983,1
1984,0
1985,0
1986,1
1987,1
1988,0
1989,0
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,0
1998,1
1999,1
2000,0
2001,1
2002,1
2003,0
2004,1
2005,0
2006,0
2007,1
2008,1
2009,1
2010,1
2011,1
2012,0
2013,0
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,0
2023,1
2024,1
2025,0
2026,0
2027,1
2028,1
2029,0
2030,0
2031,0
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,0
2041,0
2042,1
2043,1
2044,0
2045,1
2046,0
2047,1
2048,0
2049,1
2050,0
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,0
2063,1
2064,0
2065,0
2066,1
2067,1
2068,1
2069,1
2070,0
2071,1
2072,1
2073,1
2074,1
2075,1
2076,0
2077,1
2078,1
2079,1
2080,0
2081,0
2082,1
2083,0
2084,1
2085,0
2086,1
2087,0
2088,0
2089,1
2090,1
2091,0
2092,1
2093,1
2094,0
2095,0
2096,0
2097,0
2098,0
2099,1
2100,1
2101,0
2102,1
2103,1
2104,1
2105,0
2106,1
2107,1
2108,1
2109,0
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,0
2117,1
2118,1
2119,1
2120,0
2121,0
2122,1
2123,0
2124,1
2125,1
2126,1
2127,0
2128,0
2129,0
2130,0
2131,1
2132,0
2133,0
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,0
2144,1
2145,1
2146,1
2147,1
2148,1
2149,0
2150,1
2151,0
2152,0
2153,1
2154,1
2155,1
2156,1
2157,1
2158,0
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,0
2175,0
2176,1
2177,1
2178,0
2179,0
2180,1
2181,0
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,0
2189,1
2190,1
2191,0
2192,0
2193,1
2194,1
2195,1
2196,1
2197,0
2198,1
2199,0
2200,1
2201,1
2202,0
2203,1
2204,1
2205,1
2206,0
2207,1
2208,1
2209,1
2210,0
2211,0
2212,1
2213,1
2214,1
2215,0
2216,0
2217,1
2218,1
2219,0
2220,0
2221,1
2222,1
2223,1
2224,1
2225,0
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,0
2236,1
2237,0
2238,0
2239,1
2240,1
2241,0
2242,1
2243,1
2244,1
2245,0
2246,0
2247,0
2248,0
2249,0
2250,1
2251,0
2252,1
2253,1
2254,0
2255,0
2256,0
2257,1
2258,1
2259,1
2260,1
2261,1
2262,0
2263,0
2264,1
2265,0
2266,1
2267,0
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,0
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,0
2286,1
2287,1
2288,0
2289,1
2290,1
2291,1
2292,1
2293,1
2294,0
2295,0
2296,0
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,0
2307,0
2308,1
2309,1
2310,1
2311,0
2312,0
2313,1
2314,0
2315,1
2316,0
2317,0
2318,0
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,0
2328,1
2329,1
2330,0
2331,1
2332,0
2333,0
2334,0
2335,1
2336,1
2337,0
2338,1
2339,0
2340,1
2341,1
2342,1
2343,1
2344,0
2345,1
2346,1
2347,1
2348,1
2349,0
2350,0
2351,1
2352,1
2353,0
2354,1
2355,0
2356,1
2357,0
2358,1
2359,1
2360,0
2361,1
2362,0
2363,0
2364,1
2365,1
2366,0
2367,1
2368,1
2369,1
2370,1
2371,0
2372,1
2373,1
2374,1
2375,1
2376,1
2377,0
2378,0
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,0
2386,0
2387,1
2388,1
2389,1
2390,0
2391,0
2392,1
2393,1
2394,0
2395,1
2396,1
2397,1
2398,1
2399,1
2400,0
2401,1
2402,1
2403,0
2404,0
2405,1
2406,0
2407,1
2408,0
2409,0
2410,0
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,0
2418,1
2419,0
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,0
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,0
2442,0
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2449,1
2450,1
2451,1
2452,1
2453,1
2454,1
2455,0
2456,0
2457,1
2458,0
2459,0
2460,0
2461,1
2462,0
2463,1
2464,0
2465,0
2466,0
2467,1
2468,0
2469,0
2470,1
2471,0
2472,1
2473,0
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,0
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,1
2494,0
2495,0
2496,1
2497,1
2498,1
2499,0
2500,0
2501,1
2502,1
2503,1
2504,1
2505,0
2506,1
2507,1
2508,1
2509,1
2510,1
2511,1
2512,1
2513,1
2514,1
2515,1
2516,0
2517,1
2518,1
2519,0
2520,1
2521,0
2522,1
2523,1
2524,0
2525,1
2526,1
2527,0
2528,1
2529,1
2530,1
2531,1
2532,0
2533,1
2534,1
2535,1
2536,1
2537,0
2538,1
2539,0
2540,1
2541,1
2542,0
2543,1
2544,1
2545,1
2546,1
2547,1
2548,0
2549,1
2550,0
2551,1
2552,1
2553,0
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,0
2563,0
2564,1
2565,1
2566,1
2567,1
2568,0
2569,1
2570,1
2571,1
2572,1
2573,0
2574,1
2575,0
2576,0
2577,1
2578,1
2579,1
2580,0
2581,1
2582,1
2583,1
2584,0
2585,1
2586,0
2587,1
2588,1
2589,1
2590,0
2591,0
2592,1
2593,0
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2603,1
2604,0
2605,1
2606,1
2607,1
2608,0
2609,1
2610,1
2611,1
2612,1
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,1
2620,0
2621,1
2622,0
2623,1
2624,0
2625,1
2626,0
2627,1
2628,0
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,0
2636,1
2637,1
2638,0
2639,0
2640,0
2641,1
2642,0
2643,1
2644,1
2645,1
2646,0
2647,1
2648,0
2649,0
2650,1
2651,1
2652,1
2653,1
2654,1
2655,1
2656,0
2657,0
2658,0
2659,0
2660,1
2661,0
2662,0
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,1
2672,0
2673,1
2674,1
2675,1
2676,1
2677,1
2678,0
2679,1
2680,1
2681,1
2682,0
2683,1
2684,1
2685,0
2686,1
2687,1
2688,0
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,0
2697,0
2698,1
2699,1
2700,0
2701,1
2702,0
2703,1
2704,0
2705,1
2706,1
2707,1
2708,0
2709,0
2710,1
2711,1
2712,1
2713,1
2714,1
2715,0
2716,1
2717,1
2718,1
2719,1
2720,0
2721,0
2722,0
2723,1
2724,0
2725,1
2726,1
2727,0
2728,1
2729,1
2730,0
2731,1
2732,1
2733,0
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,0
2743,1
2744,1
2745,1
2746,1
2747,1
2748,1
2749,1
2750,1
2751,0
2752,1
2753,1
2754,1
2755,1
2756,0
2757,1
2758,0
2759,1
2760,0
2761,1
2762,1
2763,0
2764,1
2765,1
2766,0
2767,1
2768,1
2769,0
2770,1
2771,0
2772,1
2773,0
2774,0
2775,1
2776,1
2777,1
2778,1
2779,0
2780,1
2781,1
2782,0
2783,1
2784,1
2785,1
2786,0
2787,1
2788,1
2789,1
2790,0
2791,0
2792,1
2793,1
2794,1
2795,1
2796,0
2797,1
2798,1
2799,1
2800,0
2801,1
2802,0
2803,0
2804,0
2805,1
2806,1
2807,1
2808,0
2809,1
2810,0
2811,1
2812,0
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2820,1
2821,1
2822,1
2823,1
2824,0
2825,0
2826,0
2827,1
2828,1
2829,1
2830,1
2831,1
2832,0
2833,0
2834,1
2835,1
2836,1
2837,0
2838,1
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,0
2846,1
2847,0
2848,1
2849,0
2850,1
2851,0
2852,0
2853,1
2854,1
2855,0
2856,0
2857,1
2858,0
2859,1
2860,1
2861,1
2862,0
2863,0
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,1
2873,1
2874,1
2875,1
2876,1
2877,1
2878,1
2879,0
2880,1
2881,1
2882,1
2883,1
2884,1
2885,0
2886,0
2887,1
2888,1
2889,0
2890,1
2891,1
2892,1
2893,1
2894,1
2895,1
2896,0
2897,1
2898,0
2899,0
2900,0
2901,1
2902,0
2903,1
2904,1
2905,0
2906,0
2907,0
2908,0
2909,1
2910,1
2911,0
2912,1
2913,0
2914,1
2915,1
2916,0
2917,1
2918,0
2919,1
2920,0
2921,1
2922,0
2923,0
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,0
2933,1
2934,1
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,0
2944,1
2945,0
2946,0
2947,1
2948,0
2949,0
2950,1
2951,1
2952,0
2953,1
2954,0
2955,0
2956,1
2957,0
2958,0
2959,1
2960,0
2961,0
2962,0
2963,1
2964,0
2965,1
2966,0
2967,1
2968,0
2969,1
2970,1
2971,1
2972,1
2973,1
2974,1
2975,1
2976,1
2977,0
2978,1
2979,0
2980,1
2981,1
2982,0
2983,1
2984,1
2985,0
2986,1
2987,1
2988,0
2989,1
2990,1
2991,1
2992,1
2993,0
2994,1
2995,1
2996,1
2997,0
